"Neighbourhood","Year","PopulationAge_0_to_14","PopulationAge_15_to_24","PopulationAge_25_to_34","PopulationAge_35_to_44","PopulationAge_45_to_54","PopulationAge_55_to_70","PopulationAge_71_to_120","Total_Population","Calls"
1,2001,3579,1715,1065,640,374,276,138,7787,882
1,2002,3790,1813,1167,669,434,303,153,8329,962
1,2003,3819,2018,1321,759,455,356,142,8870,938
1,2004,4074,2154,1359,967,469,380,173,9576,1056
1,2005,3496,2195,1416,855,493,439,155,9049,1006
1,2006,3678,2246,1401,922,531,420,161,9359,1005
1,2007,3693,2385,1692,1094,619,485,184,10152,1194
1,2008,3541,2627,1996,1082,581,507,188,10522,933
1,2009,3685,2489,2013,1199,626,525,209,10746,1213
1,2010,3607,2900,2048,1244,729,573,213,11314,1318
1,2011,3670,2931,2361,1430,837,616,239,12084,1389
1,2012,3341,3065,2323,1596,865,672,231,12093,1611
1,2013,3404,3060,2440,1638,893,763,266,12464,1453
1,2014,3521,3498,2789,1860,1079,786,266,13799,1593
1,2015,3337,3259,2822,1748,1114,854,293,13427,1520
1,2016,3600,3548,2987,1959,1083,949,355,14481,1828
1,2017,3485,3236,3214,1854,1207,968,351,14315,1705
1,2018,3460,3018,3123,2032,1251,1007,364,14255,1855
2,2001,2715,862,377,198,309,271,117,4849,818
2,2002,3488,1952,1075,516,427,302,120,7880,1098
2,2003,3394,3006,1188,650,195,343,43,8819,1404
2,2004,3398,1870,977,701,337,238,146,7667,1178
2,2005,2267,1629,631,766,255,491,121,6160,1338
2,2006,2732,1796,1023,774,430,270,92,7117,1683
2,2007,3854,908,1849,1289,686,172,147,8905,1650
2,2008,3147,2122,980,903,562,411,173,8298,1616
2,2009,3264,2199,1141,1124,508,735,67,9038,780
2,2010,2367,3626,1416,1310,548,736,67,10070,2234
2,2011,2385,2578,1039,1122,675,572,98,8469,1226
2,2012,2289,3040,1434,704,475,529,174,8645,1007
2,2013,2775,1473,1313,796,807,593,127,7884,1965
2,2014,1711,3432,2238,1467,1217,559,198,10822,1859
2,2015,2908,2232,1859,911,1005,808,226,9949,897
2,2016,3745,3663,1364,975,624,862,319,11552,2524
2,2017,2899,2795,1205,1584,940,881,328,10632,2735
2,2018,2600,2185,2886,1798,448,612,202,10731,2540
3,2001,2501,1094,719,427,219,179,81,5220,571
3,2002,2138,1113,708,447,273,188,87,4954,567
3,2003,2334,1255,799,466,255,205,92,5406,614
3,2004,2102,1199,785,499,263,217,89,5154,635
3,2005,2404,1319,910,522,332,251,95,5833,693
3,2006,2215,1448,980,524,338,249,106,5860,644
3,2007,2079,1485,926,634,358,278,105,5865,696
3,2008,2176,1641,1127,685,381,259,103,6372,773
3,2009,2107,1648,1136,679,432,306,119,6427,842
3,2010,2253,1611,1270,778,410,324,130,6776,774
3,2011,2230,1643,1181,883,502,374,123,6936,816
3,2012,2136,1933,1418,951,530,393,129,7490,969
3,2013,1686,1946,1407,900,550,442,139,7070,941
3,2014,2106,1925,1480,1025,577,466,161,7740,923
3,2015,2117,1993,1688,1021,619,538,168,8144,963
3,2016,1990,1860,1679,1098,659,533,183,8002,1064
3,2017,2223,2071,1746,1155,698,621,204,8718,1086
3,2018,2309,1948,1797,1260,743,639,214,8910,1042
4,2001,0,0,0,0,0,0,0,0,977
4,2002,0,0,0,0,0,0,0,0,1045
4,2003,0,0,0,0,0,0,0,0,1071
4,2004,0,0,0,0,0,0,0,0,1149
4,2005,0,0,0,0,0,0,0,0,1112
4,2006,0,0,0,0,0,0,0,0,1102
4,2007,0,0,0,0,0,0,0,0,1235
4,2008,0,0,0,0,0,0,0,0,1366
4,2009,0,0,0,0,0,0,0,0,1305
4,2010,0,0,0,0,0,0,0,0,1244
4,2011,0,0,0,0,0,0,0,0,1463
4,2012,0,0,0,0,0,0,0,0,1402
4,2013,0,0,0,0,0,0,0,0,1553
4,2014,0,0,0,0,0,0,0,0,1609
4,2015,0,0,0,0,0,0,0,0,1641
4,2016,0,0,0,0,0,0,0,0,1651
4,2017,0,0,0,0,0,0,0,0,1864
4,2018,0,0,0,0,0,0,0,0,1917
